0002,Paros,40212,,,2000,8988 1695 1400 0626 007,8816 5146 1105,8816 9376 0915,Updated IMM to fw v1.14 7/23/13
0004,Paros,,,,,8988 1692 1400 0612 269,8816 2146 7707,8816 9316 7707,Updated IMM to fw v1.14 2/1/13
0005,Paros,4003,1003,1003,2003,8988 1692 1400 0612 251,8816 2146 7706,8816 9316 7706,Updated IMM to fw v1.14 2/12/13
0006,Druck,4006,1006,1006,2006,8988 1695 1400 0625 991,8816 5146 1104,8816 9376 0914,Updated IMM to fw v1.14 2/25/13
0007,Hygroclip,,,,,No Iridium modem,,,Gutted for parts
0008,Druck,4002,1002,1002,2002,8988 1694 1400 0461 424,8816 4140 3889,8816 9340 3876,Updated IMM to fw v1.14 3/11/13
0009,Druck,,,,,8988 1694 1400 0461 507,8816 4142 9963,8816 9342 9908,Updated IMM to fw v1.14 9/12/13
0010,Druck,,,,,8988 1692 1400 0612 293,8816 2146 7686,8816 9316 7687,Updated IMM to fw v1.14 2/1/13
0011,Druck,4005,1005,1005,2005,Pat's,,,Pat's Test Box
2001,Druck,2001,2001,2001,2001,8988 1693 1200 3836 008,881631439111,881692939125,
2002,Druck,2002,2002,2002,2002,8988 1693 1200 3836 016,881631439114,881692939126,
2003,Druck,2003,2003,2003,2003,8988 1693 1200 3836 024,881631439115,881692939137,
2004,Druck,2004,2004,2004,2004,8988 1693 1200 3836 032,881631439116,881692939138,
2005,Druck,2005,2005,2005,2005,8988 1693 1200 3836 040,881631439117,881692939142,
2006,Druck,2006,2006,2006,2006,8988 1693 1200 3836 057,881631439119,881692939143,
Iridium Phone,,,,,,8988 1694 14000 461 473,881641429998,881693429943,
